,Open,High,Close
127,795.27002,797.099976,796.869995
128,791.97998,792.8900150000001,791.400024
129,789.599976,791.570007,789.849976
130,792.880005,798.0,791.919983
131,793.049988,798.52002,795.820007
132,792.48999,799.400024,793.219971
133,792.0,794.719971,791.299988
134,796.8599849999999,798.460022,793.599976
135,800.47998,801.0,796.590027
136,798.51001,799.299988,796.950012
137,799.789978,801.22998,799.650024
138,805.3599849999999,808.0,802.75
139,800.0,805.630005,805.419983
140,803.5,804.26001,801.1900019999999
141,807.210022,811.3599849999999,805.960022
142,805.090027,807.1900019999999,807.049988
143,810.469971,813.880005,808.200012
144,807.049988,810.880005,808.48999
145,804.48999,813.330017,807.47998
146,806.0,807.599976,805.22998
147,800.1099849999999,807.219971,806.929993
148,798.23999,800.200012,797.25
149,796.469971,799.539978,798.919983
150,797.330017,802.320007,800.119995
151,786.669983,807.48999,800.9400019999999
152,797.710022,803.9400019999999,791.340027
